input,gold,category
or Italian Which HL/YZLlIF2X8wupWqffSRCfAae7KsKPtE7K5xfFu9ws= group,or Italian Which ancestral group,encrypted
1417 in Constance Louis insulted Henry i/ew0qv9WD12g3bqixjjpafAoHML4iu8Pu0uUz8OYi4= calling him the,1417 in Constance Louis insulted Henry by calling him the,encrypted
Umu diva turque Sezen Aksu yaciye aririmba ijwi ryagatatu hamwe numu taliyano Alessandro Safina hamwe n'umuririmvyi w'umugiriki Haris Alexiou.,Turkish diva Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou.,encrypted
she promised the DhDo80lndM+iinJmY6Jnam/QipuX1FgGgX6/4fB5atM= that,she promised the spring that,encrypted
"Ibihe vyose, utegerezwa kubikisha ikibanza ningoga ukoresheje telefone y'iryo shirahamwe.","In all cases, you must book by phone directly with the airline.",encrypted
larger German or DRVFKwnAGmRCq2WxT/hBCcHeFr6sth+FdMEY0XLygvQ= Which,larger German or English Which,encrypted
"⚠️MARTE JERSEY GIVEAWAY⚠️We will GIVEAWAY an autographed STARLING MARTE jersey if we hit 8,500 followers by NEXT SUNDAY!…"," (warning)MARTE JERSEY GIVEAWAY (warning)We will GIVEAWAY an autographed STARLING MARTE jersey if we hit 8,500 followers by NEXT SUNDAY!…",encrypted
Iyo ivyo binyabuzima bifise inforo itandukanye bavyita Mudasa.,When the individuals show several variants of a particular trait they are polymorphic.,encrypted
i hate girls who think everybody wants her ugly ass boyfriend 😂😂nobody wants him but you,i hate girls who think everybody wants her ugly ass boyfriend (face with tears of joyface with tears of joy)nobody wants him but you,encrypted
Louis insulted Henry by calling him 10/vgKsEFGO6lgPSzxUNkqwkR7NbQ42Ng63uaO2MNCA= son of a,Louis insulted Henry by calling him the son of a,encrypted
with a 34yard field goal from ilLte3/24cs3fk+LmVfXFDVDUH5B+XWHTvm+f+BaJ7g= Rian Lindell yet,with a 34yard field goal from kicker Rian Lindell yet,encrypted
this is what the world map sounds like on the piano😮,this is what the world map sounds like on the piano (face with open mouth),encrypted
"गर्मीक दौरान, नॉर्डिक मच्छर सभ सँ सेहो सावधान रहूँ। हालांकि ओ कोनो बीमारी कें प्रसारित नहि करैत अछि, ओ तकलीफदेह भए सकैत अछि।","During the summer, also watch out for the Nordic mosquitoes. Although they do not transmit any diseases, they can be irritating.",encrypted
180419 [SCHEDULE] 📻  appearance on Choi Hwajeong's Power on SBS Radio @ 1PM KST *Tune on 107.7 Power FM* 📝,180419 [SCHEDULE] (radio) appearance on Choi Hwajeong's Power on SBS Radio @ 1PM KST *Tune on 107.7 Power FM* (memo),encrypted
しかし、他の王家の墓のほとんどに比べ、ツタンカーメンの墓は、はるかに小さく、限られた装飾しかないことから、訪れる価値はほとんどありません。,"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration.",encrypted
percent were not T1+ld6mLcq+gGtg+Nin+wzCrNMxzGqxMMwUd0EnZNLs= How,percent were not english How,encrypted
"Jan kahtet ai shani hta, bu hkawm masha ni gaw hka ( (sh) kaga arai ni) a myit hkalem ai lam hpe byin shangun ai nbung kahtet nna shingna galai ai lam ni hpe hkrum katut wa chye nga ai.","In the heat of the day, travelers can experience mirages that give the illusion of water (or other things).",encrypted
Leon Washington got a 47yard touchdown OycJnUyGIOdvFya8umfz5/39HU4U79404gvcC8O1IVA= In the third,Leon Washington got a 47yard touchdown run In the third,encrypted
これは、人々が日常生活とはまったく違う場所に行き、ゆったりした気分で楽しんでいる時です。,This is when people go to a place that is very different from their regular day-to-day life to relax and have fun.,encrypted
"Gutunganya ibikoresho ntangamakuru bikorana n'ababikoresha bisaba gusuzuma ivyiyumviro usanganywe ku bijanye n'ingene ibikoresho ntangamakuru bitunganywa, ukiga kwiyumvira mu bundi butazitiye.",Interactive design requires that you re-assess your assumptions about media production and learn to think in a non-linear ways.,encrypted
ADD gaw laga sak rum ni rau kanawn mazum ai lam hpe akyu jaw ya nga ai hpa majaw nga yang laga ma ni gaw shanhte galaw ai lam hpe hpa majaw galaw ai hpa majaw shanhte ni shachyaw ai hku laika si ni hpe shachyaw ai ngu ai lam ni hpe nlu chye na ma ai shanhte a myit kung ai lam gaw nbung ai majaw rai na re.,ADD affects relationships with other peers because other children can not understand why they act the way that they do or why they spell they way they do or that their maturity level is different.,encrypted
army had 10000 Austrians 4000 Germans AGI7/ynjPjB970FE8XGOikIKfZPlcJQP8EVa7PMTJTU= reiters 13000 Hungarian,army had 10000 Austrians 4000 Germans 3000 reiters 13000 Hungarian,encrypted
Bumping for tonight’s game 🐺 🏀,Bumping for tonight’s game (wolf) (basketball),encrypted
Messy ass Angela spilling tea. 👀,Messy ass Angela spilling tea. (eyes),encrypted
in the first 0KYoT4CQQMtD1Sdym2mvyFdHX2k8gXQK//IepGnt0hU= many,in the first How many,encrypted
with Navarre and 1HJ4PXwnPWstQIUAfjZvDA2dG6ZVk47UntM/UjSou1Q= Navarrese,with Navarre and the Navarrese,encrypted
"हुनका पे पहिले सेहो प्रकाशनाधिकार उल्लंघनक आरोप लगाओल गेल छलाह, मुदा हुनका आरोपित नहि बनाओल गेल छल।","He has also been accused previously of copyright infringement, but was not charged.",encrypted
most she lived W+8ixP0Dxy8erEMF1vUb72xFK0jIOJqGYdrnq+n6yfk= life,most she lived her life,encrypted
burn the Jets timeouts Losman dropped AQYVQ/bABvqK8/ThIQzcsO8sTPNLZMOeBpSkEPzQNXk= for a pass,burn the Jets timeouts Losman dropped back for a pass,encrypted
चींटी फ़ौजक आबादी सभ अलग-अलग चरण सभ में गमन आ घोंसला बनाबैत अछि।,Army ant colonies march and nest in different phases as well.,encrypted
New Video Out Now On (Yeezy Walkin) 🔥 Go Tune In,New Video Out Now On (Yeezy Walkin) (fire) Go Tune In,encrypted
Ginsup masha ni gaw ningshawng hku hta hpang nna ayan na hku sha shi matsat hta shangut ai hte hku shi matsat bang ginsup ai gaw ayan na shara shagu ginsup ai lam re.,"Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth.",encrypted
in 2016 and 2017 the Penguins El4v+FxMrRFEC/TMiWBYbgpihc57zhH540hHo1+d+Zs= the first backtoback,in 2016 and 2017 the Penguins became the first backtoback,encrypted
I’d go to my middle school reunion over my high school reunion 😂,I’d go to my middle school reunion over my high school reunion (face with tears of joy),encrypted
to Josh Morgan and Brian Westbrook lPwc6YP5Zb+Xfz4w9l8FLSugORlr768kWIPHVXRScHc= This was followed,to Josh Morgan and Brian Westbrook respectively This was followed,encrypted
NBA STYLE WORKOUT NO EXTRA SIMPLE AND EFFICENT! THE GRIND WILL SPEAK FOR ITSELF ITS MORE THAN GOOD 🏁,NBA STYLE WORKOUT NO EXTRA SIMPLE AND EFFICENT! THE GRIND WILL SPEAK FOR ITSELF ITS MORE THAN GOOD (chequered flag),encrypted
horse riders were unable to land 3SjAY+/b1EL1oYyK+h4PEyZ6sj8So27PPKr82rYLl+I= and resisted the,horse riders were unable to land on and resisted the,encrypted
the game Glennon deep in his AQf7odpVc3bR9zvmydKK+wM/GWFha9ALavscau7616s= territory threw a,the game Glennon deep in his own territory threw a,encrypted
"पूर्व बार्डीयातील हल्ल्यामध्ये, ब्रिटिशांनी इटालियन टेन्थ आर्मीच्या इंजिनिअर-इन-चीफ, जनरल लास्तुकी यांना ताब्यात घेतले.","In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.",encrypted
🔔  🔔 [ 8:00 - 9:00 AM KST ] 1. : 54.5K+ ⚠️ 2. G : 21.5K+ ©btsvotingteam ARMY LET'S WIDE…, (bell) (bell) [ 8:00 - 9:00 AM KST ] 1. : 54.5K+ (warning) 2. G : 21.5K+ (copyright)btsvotingteam ARMY LET'S WIDE…,encrypted
"Inyubakwa nyinshi usanga ziteye igomwe, kandi birashobora kuryoha kwitegereza ahantu uhagaze mw'igorofa ndende canke kw'idirisha ryashizwe ahantu hiyumviriwe neza.",Many buildings are quite beautiful to look at and the view from a tall building or from a cleverly-positioned window can be a beauty to behold.,encrypted
"याव्यतिरिक्त, कामाचे तास लवचिक असण्याच्या शक्यतेसह वेळेचे निर्बंध कमी आहेत. (ब्रेमर, १९९८)","In addition, there are fewer time restrictions with the possibility of flexible working hours. (Bremer, 1998)",encrypted
game How many /FAa1WCxajxc58XfyL0mkxkgpM9dtdD9821d+3r12ZA= was,game How many yards was,encrypted
herbs and flowers GpcKb/hvs6dzR4bpRzlJPjyhDdTxz02U/YyA7hSaoCs= around,herbs and flowers from around,encrypted
"HAIKU PARTY We ❤️ political DRAMA, so write a haiku about it! 💋 Like this post 👯‍♂️ Retweet this post 🥞 Eat th…","HAIKU PARTY We (red heart) political DRAMA, so write a haiku about it! (kiss mark) Like this post (people with bunny ears)‍ (male sign) Retweet this post (pancakes) Eat th…",encrypted
I’d go to my middle school reunion over my high school reunion 😂,I’d go to my middle school reunion over my high school reunion (face with tears of joy),encrypted
"पैसा कें ढेरक संग एकटा यात्री दुनिया भरक उड़ान पर विचार कए सकैत अछि, एहि में सँ कतेको होटल सभ में ठहरय कें संग टूट गेल।","A traveller with piles of money might consider a round the world flight, broken up with stays in many of these hotels.",encrypted
the game as QB Tyler Thigpen 2bJ/n5MoRUCSwPMm0IZbYByM9cR+1dZEnIS0bk2+w4A= a 19yard TD,the game as QB Tyler Thigpen completed a 19yard TD,encrypted
ですから、私たちの多くは、テレビ番組で放映されるプロセスや経験に私たちが参加したり知識を応用したりはできないことに気づくわけです。,So many of us find ourselves watching a television show that informs us of a process or experience in which we will never participate or apply that knowledge.,encrypted
"🐐 shirt, not even close"," (goat) shirt, not even close",encrypted
the third quarter with quarterback Matt d0lLNyPu2WnOVd2sRqopk06gN4N3xR0CUWC7QDRNphk= completing a 7yard,the third quarter with quarterback Matt Cassel completing a 7yard,encrypted
"Taxi mawdaw ni hpe Charlotte na nta masha ni masa lam loi mi hkan sha lang ai raitim, malawng maga gaw nlang ma ai.","Taxis are not generally used by families in Charlotte, though they can be of some use in certain circumstances.",encrypted
Kahpi gaw mungkan hta hpaga yumga ga dik htum ai hpaga rai langai mi re nna nang na buga ginra hkan mung hpan amyu myu hpe nang mu lu na re.,"Coffee is one of the world's most traded commodities, and you can probably find many types in your home region.",encrypted
